"filename", "language", "Python", "JSON", "Markdown", "pip requirements", "PowerShell", "comment", "blank", "total"
"c:\Users\Admin\Documents\Projects\Local-AI-Assistant\local-assistant-server\src\assistant_server\api\router.py", "Python", 54, 0, 0, 0, 0, 5, 21, 80
"c:\Users\Admin\Documents\Projects\Local-AI-Assistant\local-assistant-server\src\assistant_server\api\schemas.py", "Python", 11, 0, 0, 0, 0, 1, 9, 21
"c:\Users\Admin\Documents\Projects\Local-AI-Assistant\local-assistant-server\src\assistant_server\core\__init__.py", "Python", 0, 0, 0, 0, 0, 4, 0, 4
"c:\Users\Admin\Documents\Projects\Local-AI-Assistant\local-assistant-server\src\assistant_server\core\config.py", "Python", 18, 0, 0, 0, 0, 4, 7, 29
"c:\Users\Admin\Documents\Projects\Local-AI-Assistant\local-assistant-server\src\assistant_server\core\logging.py", "Python", 9, 0, 0, 0, 0, 3, 4, 16
"c:\Users\Admin\Documents\Projects\Local-AI-Assistant\local-assistant-server\src\assistant_server\main.py", "Python", 12, 0, 0, 0, 0, 0, 7, 19
"c:\Users\Admin\Documents\Projects\Local-AI-Assistant\local-assistant-server\src\assistant_server\memory\__init__.py", "Python", 0, 0, 0, 0, 0, 1, 2, 3
"c:\Users\Admin\Documents\Projects\Local-AI-Assistant\local-assistant-server\src\assistant_server\memory\store.py", "Python", 16, 0, 0, 0, 0, 2, 7, 25
"c:\Users\Admin\Documents\Projects\Local-AI-Assistant\local-assistant-server\src\assistant_server\orchestrator\__init__.py", "Python", 0, 0, 0, 0, 0, 1, 2, 3
"c:\Users\Admin\Documents\Projects\Local-AI-Assistant\local-assistant-server\src\assistant_server\orchestrator\pipeline.py", "Python", 71, 0, 0, 0, 0, 19, 30, 120
"c:\Users\Admin\Documents\Projects\Local-AI-Assistant\local-assistant-server\src\assistant_server\orchestrator\state.py", "Python", 34, 0, 0, 0, 0, 6, 11, 51
"c:\Users\Admin\Documents\Projects\Local-AI-Assistant\local-assistant-server\src\assistant_server\rag\__init__.py", "Python", 0, 0, 0, 0, 0, 1, 2, 3
"c:\Users\Admin\Documents\Projects\Local-AI-Assistant\local-assistant-server\src\assistant_server\rag\retriever.py", "Python", 4, 0, 0, 0, 0, 1, 3, 8
"c:\Users\Admin\Documents\Projects\Local-AI-Assistant\local-assistant-server\src\assistant_server\services\__init__.py", "Python", 0, 0, 0, 0, 0, 1, 2, 3
"c:\Users\Admin\Documents\Projects\Local-AI-Assistant\local-assistant-server\src\assistant_server\services\audio.py", "Python", 0, 0, 0, 0, 0, 1, 0, 1
"c:\Users\Admin\Documents\Projects\Local-AI-Assistant\local-assistant-server\src\assistant_server\services\llm\__init__.py", "Python", 0, 0, 0, 0, 0, 1, 0, 1
"c:\Users\Admin\Documents\Projects\Local-AI-Assistant\local-assistant-server\src\assistant_server\services\llm\base.py", "Python", 12, 0, 0, 0, 0, 4, 6, 22
"c:\Users\Admin\Documents\Projects\Local-AI-Assistant\local-assistant-server\src\assistant_server\services\llm\ollama_client.py", "Python", 18, 0, 0, 0, 0, 0, 3, 21
"c:\Users\Admin\Documents\Projects\Local-AI-Assistant\local-assistant-server\src\assistant_server\services\stt\__init__.py", "Python", 0, 0, 0, 0, 0, 1, 0, 1
"c:\Users\Admin\Documents\Projects\Local-AI-Assistant\local-assistant-server\src\assistant_server\services\stt\base.py", "Python", 7, 0, 0, 0, 0, 1, 7, 15
"c:\Users\Admin\Documents\Projects\Local-AI-Assistant\local-assistant-server\src\assistant_server\services\stt\fasterWhisper_client.py", "Python", 10, 0, 0, 0, 0, 2, 6, 18
"c:\Users\Admin\Documents\Projects\Local-AI-Assistant\local-assistant-server\src\assistant_server\services\tts\__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\Admin\Documents\Projects\Local-AI-Assistant\local-assistant-server\src\assistant_server\services\tts\base.py", "Python", 9, 0, 0, 0, 0, 1, 7, 17
"c:\Users\Admin\Documents\Projects\Local-AI-Assistant\local-assistant-server\src\assistant_server\services\tts\piper_client.py", "Python", 19, 0, 0, 0, 0, 4, 7, 30
"c:\Users\Admin\Documents\Projects\Local-AI-Assistant\local-assistant-server\src\assistant_server\tools\__init__.py", "Python", 0, 0, 0, 0, 0, 1, 2, 3
"c:\Users\Admin\Documents\Projects\Local-AI-Assistant\local-assistant-server\src\assistant_server\tools\base.py", "Python", 12, 0, 0, 0, 0, 5, 8, 25
"c:\Users\Admin\Documents\Projects\Local-AI-Assistant\local-assistant-server\src\assistant_server\tools\implementations\time.py", "Python", 7, 0, 0, 0, 0, 3, 3, 13
"c:\Users\Admin\Documents\Projects\Local-AI-Assistant\local-assistant-server\src\assistant_server\tools\registry.py", "Python", 32, 0, 0, 0, 0, 1, 8, 41
"c:\Users\Admin\Documents\Projects\Local-AI-Assistant\local-assistant-server\src\assistant_server\utils\__init__.py", "Python", 0, 0, 0, 0, 0, 1, 0, 1
"c:\Users\Admin\Documents\Projects\Local-AI-Assistant\local-assistant-server\tests\conftest.py", "Python", 0, 0, 0, 0, 0, 10, 1, 11
"c:\Users\Admin\Documents\Projects\Local-AI-Assistant\local-assistant-server\tests\test_health.py", "Python", 7, 0, 0, 0, 0, 0, 6, 13
"Total", "-", 626, 493, 183, 130, 13, 124, 333, 1902
